timestamp,pursuit_control_rate,stanley_control_rate,sta_lat_rate,heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg, feedback_steer_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,closest_curvature,cur_east,cur_north,cur_yaw_deg,curvature_feedforward,zero_point_draft,target_spd,cur_spd,error,acceleration,cmd_spd,integral
18:00:11.375,0.6,0.4,0.4,-3.50254,-2.69975,-0.0496964,4.6806,0.62961,-0.931308,-4.19,2.28969,65,42,-3.94644,18.0515,16.5335,-4.58392,15.8419,15.5366,-0.00984865,-4.62976,15.8625,20.036,0.2,-3,3,0.52646,2.47354,0,1,0
18:00:11.475,0.6,0.4,0.4,-3.41615,-2.5658,-0.0533455,4.25951,0.643366,-1.09672,-3.29,2.39222,67,43,-3.88943,18.2432,16.5908,-4.55709,15.9382,15.5925,-0.00966028,-4.60344,15.9706,20.007,0.2,-3,3,0.594811,2.40519,0,1,0
18:00:11.575,0.6,0.4,0.4,-3.30143,-2.59675,-0.0495627,4.29119,0.718748,-1.03989,-2.31,2.40311,69,44,-3.83224,18.4349,16.6446,-4.53016,16.0345,15.6473,-0.00947042,-4.57739,16.0497,19.946,0.2,-3,3,0.602071,2.39793,0,1,0
18:00:11.675,0.6,0.4,0.4,-3.17587,-2.42069,-0.0511161,3.90166,0.670695,-1.22415,-1.77,2.46474,70,45,-3.80357,18.5307,16.6691,-4.50315,16.1308,15.701,-0.0092804,-4.5518,16.1466,19.845,0.2,-3,3,0.643162,2.35684,0,1,0
18:00:11.775,0.6,0.4,0.4,-3.0129,-2.46642,-0.0417789,3.96154,0.886371,-1.08251,-1.42,2.4732,71,46,-3.77487,18.6265,16.6921,-4.47605,16.227,15.7536,-0.00909028,-4.52027,16.2242,19.705,0.2,-3,3,0.6488,2.3512,0,1,0
18:00:11.875,0.6,0.4,0.4,-2.82421,-2.33364,-0.0403316,3.62628,0.885525,-1.21946,-1.24,2.55714,73,47,-3.71736,18.818,16.7348,-4.44886,16.3233,15.8051,-0.00890153,-4.4904,16.3246,19.559,0.2,-3,3,0.704762,2.29524,0,1,0
18:00:11.975,0.6,0.4,0.4,-2.66638,-2.41934,-0.0287474,3.73009,1.15275,-1.03257,-1.24,2.57702,74,48,-3.68855,18.9137,16.7546,-4.42158,16.4195,15.8556,-0.00871142,-4.45499,16.4071,19.421,0.2,-3,3,0.718011,2.28199,0,1,0
18:00:12.075,0.6,0.4,0.4,-2.48594,-2.35192,-0.0236637,3.50058,1.21822,-1.0906,-1.14,2.66995,76,49,-3.63083,19.1052,16.7911,-4.39422,16.5156,15.905,-0.00852215,-4.41852,16.5167,19.277,0.2,-3,3,0.779965,2.22003,0,1,0
18:00:12.175,0.6,0.4,0.4,-2.31048,-2.45098,-0.00998431,3.63219,1.48601,-0.945257,-1.14,2.68126,77,50,-3.60193,19.2009,16.8075,-4.36678,16.6118,15.96,-0.0106798,-4.3787,16.6064,19.118,0.2,-3,3,0.787509,2.21249,0,1,0
18:00:12.275,0.6,0.4,0.4,-2.11428,-2.31294,-0.00656294,3.3182,1.43453,-1.04528,-1.05,2.77039,79,51,-3.54405,19.3924,16.8357,-4.33923,16.7079,16.0138,-0.00810801,-4.34199,16.7221,18.95,0.2,-3,3,0.846926,2.15307,0,1,0
