heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,cur_east,cur_north,cur_yaw_deg,cur_spd
-5.27301,-13.711,0.38082,-9.41538,83.0378,46.0565,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67836,-17.272,0.00223607
-5.27301,-13.711,0.38082,-9.41538,83.0378,46.0565,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67836,-17.272,0.00223607
-5.27301,-13.711,0.38082,-9.41538,83.0378,46.0565,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67836,-17.272,0.00223607
-5.27103,-13.7099,0.380809,-9.41247,82.3439,45.6413,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26745,-1.67845,-17.274,0.00316228
-5.27103,-13.7099,0.380809,-9.41247,82.3439,45.6413,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26745,-1.67845,-17.274,0.00316228
-5.27103,-13.7099,0.380809,-9.41247,82.3439,45.6413,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26745,-1.67845,-17.274,0.00316228
-5.27103,-13.7099,0.380809,-9.41247,82.3439,45.6413,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26745,-1.67845,-17.274,0.00316228
-5.27103,-13.7099,0.380809,-9.41247,82.3439,45.6413,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26745,-1.67845,-17.274,0.00316228
-5.27301,-13.7119,0.380814,-9.41383,82.3419,45.6396,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26743,-1.67847,-17.272,0.00316228
-5.27301,-13.7119,0.380814,-9.41383,82.3419,45.6396,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26743,-1.67847,-17.272,0.00316228
