east,north,raw_curvature,smoothed_curvature
-4.33923367,16.70789634,-0.008108014579698225,-0.0089164769915022
-4.31161024,16.80399636,-0.0078892834691462,-0.007685953934846843
-4.28391098,16.90007466,-0.007674124741904512,-0.007682710075326058
-4.25613797,16.99613179,-0.007485212143251379,-0.0074794653738648265
-4.22829304,17.09216822,-0.007245057195213603,-0.0072374034560234455
-4.20037851,17.18818457,-0.006943217062661057,-0.0069490910082503875
-4.17239729,17.28418164,-0.006658542534348733,-0.0066624891503322126
-4.14435212,17.3801602,-0.006401355033822716,-0.006394703350367516
-4.11624548,17.47612093,-0.00613593213148845,-0.006140436351841168
-4.08807993,17.57206453,-0.005904154371395336,-0.005904352809361427
-4.0598577,17.66799163,-0.005695353060144355,-0.005691878978883325
-4.03158081,17.76390276,-0.005496544394732051,-0.005497507686942507
-4.00325117,17.85979847,-0.005335275520200284,-0.005340993276824966
-3.97487034,17.95567917,-0.005227855172468891,-0.005224749978653518
-3.94643936,18.05154513,-0.005123884926836376,-0.005122177582589934
-3.91795924,18.1473966,-0.0050091936197805475,-0.0050140144992713315
-3.88943109,18.24323387,-0.004889529103987667,-0.004889116649028202
-3.86085606,18.33905727,-0.004714395638084807,-0.004704256503776495
-3.83223584,18.43486726,-0.004438109455226098,-0.004436811202647072
-3.80357308,18.53066462,-0.004133276688829273,-0.00413878691900881
-3.77487071,18.62645019,-0.0038876497524006817,-0.003896352913622525
-3.74613109,18.72222465,-0.0037246950406853675,-0.003722995901781145
-3.71735578,18.81798847,-0.0035663420675068475,-0.003553581681595201
-3.68854631,18.91374206,-0.00335434363390454,-0.003364985101289341
-3.65970471,19.00948603,-0.003179323709887051,-0.003185310124067071
-3.63083266,19.10522087,-0.0030077558126402853,-0.0029907168645172586
-3.60193181,19.20094705,-0.0027362719605832247,-0.0027437046490055286
-3.57300476,19.29666535,-0.0024602919002368055,-0.002463984360490409
-3.54405416,19.39237654,-0.002188520679861732,-0.002182841987589932
-3.51508261,19.48808141,-0.001886584644759981,-0.0018872213868565701
-3.48609301,19.5837808,-0.0015863615500711797,-0.0015860282974834306
-3.45708823,19.67947559,-0.0013123004931414027,-0.0013158779392976822
-3.4280709,19.77516655,-0.0010927385181737862,-0.0010971488172690335
-3.39904312,19.87085432,-0.0009142757975481972,-0.0009042595777894343
-3.3700066,19.96653941,-0.0007120590141999441,-0.0007141170599008855
-3.34096328,20.06222239,-0.0005380907482498963,-0.0005441696186908146
-3.31191482,20.15790378,-0.00042036304664126825,-0.0004207805463688405
-3.28286235,20.25358391,-0.00031594780117322375,-0.00031304165660744204
-3.25380687,20.34926308,-0.00017704607348991311,-0.0001765612050559569
-3.22474971,20.44494169,1.0236054830395454e-05,1.3241851630031606e-05
-3.19569266,20.54062029,0.00025413570381327904,0.00026312517750264524
-3.16663805,20.6362996,0.000527822364155226,0.0005157451318686596
-3.1375885,20.73198041,0.0006995883335101171,0.0006916900176114489
-3.10854565,20.82766323,0.0007786269528751042,0.0007902765692340342
-3.07951025,20.92334831,0.0008662785820651316,0.0008737022462127975
-3.05048314,21.0190359,0.0009279713900409558,0.0009006540817106329
-3.02146491,21.11472618,0.000842524130707225,0.0008653315877958325
-2.99245474,21.21041891,0.0008074574884890145,0.0007472439915889469
-2.9634523,21.30611397,0.0007542051484443072,0.000684666771978364
-2.93445707,21.40181124,0.0013166915927985347,0.001989821763816511
-2.90547446,21.49751226,0.003940122362546455,0.0029263928395036947
-2.87652976,21.59322402,0.0022165176701397617,0.00275137543957175
-2.84760632,21.68894204,0.0015647421635290029,0.001499268223176656
-2.81869787,21.78466454,0.0011636531806248503,0.0011765041907420598
-2.78980055,21.88039043,0.0009559706967820106,0.0009292753061342467
-2.76091236,21.97611915,0.000734486235987737,0.0007497277321370879
