longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37731404,31.96343255,41.636,29.539,0.777,41.636,15.273,-0.549,-0.821,1.123,-1.084,-0.295,-0.011,0.048,-0.088,9.773,-0.228,0.237,1.462,4
117.37731374,31.96343155,41.637,29.429,0.749,41.637,15.137,-0.521,-0.802,1.137,-1.098,-0.296,-0.011,-0.029,0.036,9.792,0.382,0.209,1.199,4
117.37731345,31.96343054,41.638,29.317,0.721,41.638,15.023,-0.496,-0.815,1.147,-1.108,-0.296,-0.011,0.103,-0.057,9.903,-0.368,-0.237,1.038,4
117.37731316,31.96342953,41.639,29.204,0.694,41.639,14.925,-0.515,-0.856,1.148,-1.109,-0.295,-0.012,0.169,-0.122,9.722,-0.044,-0.363,0.951,4
117.37731287,31.96342852,41.640,29.092,0.666,41.640,14.845,-0.479,-0.888,1.144,-1.106,-0.292,-0.013,0.181,-0.020,9.701,0.467,-0.228,0.688,4
117.37731257,31.96342752,41.641,28.981,0.638,41.641,14.799,-0.417,-0.874,1.139,-1.101,-0.290,-0.012,0.122,0.103,9.968,0.189,0.461,0.374,4
117.37731227,31.96342652,41.639,28.870,0.610,41.639,14.758,-0.421,-0.814,1.136,-1.099,-0.288,-0.011,0.043,0.006,10.050,-0.397,0.276,0.562,4
117.37731196,31.96342549,41.639,28.756,0.580,41.639,14.699,-0.453,-0.825,1.158,-1.120,-0.293,-0.011,-0.096,0.063,9.665,-0.359,-0.199,0.501,4
117.37731164,31.96342443,41.639,28.639,0.550,41.639,14.672,-0.469,-0.856,1.175,-1.137,-0.297,-0.012,0.097,0.040,9.735,-0.175,-0.074,0.038,4
117.37731132,31.96342338,41.639,28.522,0.520,41.639,14.675,-0.464,-0.871,1.176,-1.138,-0.297,-0.012,0.216,-0.042,9.937,-0.262,-0.174,0.076,4
117.37731101,31.96342233,41.638,28.406,0.491,41.638,14.645,-0.502,-0.887,1.172,-1.134,-0.295,-0.013,0.093,0.092,9.848,-0.609,-0.110,0.501,4
117.37731070,31.96342129,41.636,28.290,0.462,41.636,14.605,-0.522,-0.872,1.174,-1.136,-0.295,-0.013,0.093,0.069,9.649,-0.074,0.300,0.262,4
117.37731039,31.96342025,41.635,28.175,0.432,41.635,14.598,-0.510,-0.828,1.177,-1.139,-0.296,-0.011,0.038,0.147,9.985,-0.350,0.427,0.024,4
117.37731007,31.96341920,41.634,28.059,0.401,41.634,14.585,-0.545,-0.798,1.185,-1.147,-0.297,-0.011,-0.015,0.036,9.767,-0.461,0.164,0.300,4
117.37730973,31.96341815,41.634,27.942,0.370,41.634,14.551,-0.559,-0.825,1.196,-1.158,-0.299,-0.012,0.034,-0.024,9.685,-0.223,-0.462,0.289,4
117.37730940,31.96341709,41.633,27.824,0.338,41.633,14.552,-0.568,-0.882,1.207,-1.169,-0.302,-0.013,0.083,-0.022,9.791,-0.138,-0.449,-0.224,4
117.37730907,31.96341602,41.632,27.707,0.307,41.632,14.591,-0.554,-0.895,1.205,-1.166,-0.303,-0.013,0.204,0.181,9.969,-0.127,0.138,-0.275,4
117.37730873,31.96341499,41.632,27.592,0.275,41.632,14.596,-0.585,-0.850,1.188,-1.150,-0.298,-0.012,0.176,0.106,10.039,-0.961,0.429,0.274,4
117.37730839,31.96341396,41.633,27.478,0.243,41.633,14.563,-0.662,-0.823,1.190,-1.152,-0.298,-0.012,-0.016,0.010,9.535,-0.386,0.239,0.212,4
117.37730805,31.96341291,41.635,27.361,0.210,41.635,14.565,-0.635,-0.799,1.205,-1.167,-0.302,-0.011,0.043,0.066,9.826,0.210,0.299,-0.276,4
117.37730771,31.96341185,41.635,27.243,0.178,41.635,14.602,-0.627,-0.789,1.213,-1.174,-0.305,-0.011,0.084,0.018,10.018,-0.589,-0.109,-0.249,4
117.37730738,31.96341078,41.636,27.126,0.147,41.636,14.621,-0.681,-0.812,1.215,-1.176,-0.306,-0.012,0.069,0.059,9.653,-0.400,-0.248,-0.024,4
117.37730705,31.96340972,41.639,27.008,0.116,41.639,14.632,-0.663,-0.835,1.217,-1.178,-0.307,-0.012,0.067,0.066,9.715,0.161,-0.238,-0.212,4
117.37730672,31.96340867,41.641,26.891,0.085,41.641,14.670,-0.636,-0.830,1.214,-1.175,-0.307,-0.012,0.096,0.082,10.189,-0.141,0.401,-0.476,4
117.37730639,31.96340761,41.642,26.774,0.054,41.642,14.710,-0.650,-0.786,1.213,-1.173,-0.307,-0.011,0.095,0.132,9.812,-0.552,0.303,-0.226,4
117.37730605,31.96340657,41.645,26.658,0.022,41.645,14.717,-0.712,-0.783,1.215,-1.175,-0.308,-0.011,0.086,0.013,9.657,-0.637,-0.134,-0.012,4
117.37730570,31.96340551,41.648,26.541,-0.011,41.648,14.740,-0.696,-0.781,1.222,-1.182,-0.310,-0.011,0.101,-0.069,9.871,0.422,0.273,-0.413,4
