longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status,,east,north
117.3776884,31.96351065,41.63511211,38.23535394,36.17352396,41.63511211,-71.79620371,-0.98032496,-0.80568518,1.18512087,0.31724286,-1.14212087,-0.00685061,0.2502242,0.02186699,9.46087524,-0.30446607,0.01760568,0.03576948,4,,36.17352396,38.23535394
117.3776874,31.96351099,41.63578818,38.26646696,36.07864882,41.63578818,-71.89044019,-0.95212569,-0.78862683,1.19144144,0.31867122,-1.14840982,-0.0061802,0.21861331,0.09209813,9.7978619,0.47471186,0.37398775,0.09278357,4,,36.07864882,38.26646696
117.3776864,31.96351132,41.63602554,38.29742508,35.98372434,41.63602554,-71.9827693,-0.91553649,-0.74845633,1.19896568,0.32061934,-1.15544294,-0.00546619,0.1584062,0.1699157,9.99583494,0.4797504,0.55790576,0.11399321,4,,35.98372434,38.29742508
117.3776854,31.96351164,41.6365324,38.32823147,35.88875152,41.6365324,-72.07319048,-0.88333163,-0.7062589,1.2084362,0.32304047,-1.16444431,-0.00474191,0.07706725,0.17526187,10.02231101,0.16807289,0.45493134,0.17142782,4,,35.88875152,38.32823147
117.3776844,31.96351197,41.6379624,38.35888931,35.7937314,41.6379624,-72.16170325,-0.86638543,-0.6838022,1.2211028,0.32601867,-1.17705587,-0.00411266,-0.01536649,0.05146054,9.84827405,-0.02018674,-0.03163707,0.3095643,4,,35.7937314,38.35888931
117.3776834,31.96351229,41.6394374,38.38940176,35.698665,41.6394374,-72.24830714,-0.84691356,-0.70315007,1.23934499,0.33025581,-1.19462534,-0.00472062,-0.01296666,0.18126923,9.77565094,0.38872514,-0.14117453,0.13273645,4,,35.698665,38.38940176
117.3776825,31.9635126,41.64087353,38.41977198,35.60355335,41.64087353,-72.33300177,-0.80326883,-0.72794994,1.25309236,0.33374683,-1.20766086,-0.00545254,0.04342236,0.29017068,9.83553188,0.53465751,-0.23707861,-0.04158611,4,,35.60355335,38.41977198
117.3776815,31.96351291,41.64178138,38.45000314,35.50839748,41.64178138,-72.41578679,-0.75705766,-0.75539584,1.26026457,0.33576149,-1.21447325,-0.00618878,0.12884439,0.29209859,9.91866007,0.27707692,-0.32697856,-0.12749912,4,,35.50839748,38.45000314
117.3776805,31.96351322,41.64115516,38.4800984,35.41319841,41.64115516,-72.49666192,-0.76124067,-0.78646537,1.25785419,0.33500234,-1.21274997,-0.00689578,0.19933838,0.0773645,9.78335704,-0.41781274,-0.30446816,-0.01033309,4,,35.41319841,38.4800984
117.3776795,31.96351353,41.64169015,38.51006094,35.31795717,41.64169015,-72.57562689,-0.7711278,-0.79001224,1.2514177,0.33348248,-1.20641599,-0.00696271,0.23505346,0.10207065,9.68475672,0.05582647,0.06595153,0.0802352,4,,35.31795717,38.51006094
117.3776785,31.96351384,41.64195233,38.53989391,35.22267478,41.64195233,-72.6526815,-0.7554699,-0.76916866,1.24358436,0.33102346,-1.19860537,-0.00648203,0.20218112,0.15119404,9.76790829,0.33115605,0.23692382,0.15620276,4,,35.22267478,38.53989391
117.3776775,31.96351416,41.64134849,38.56960048,35.12735227,41.64134849,-72.72782558,-0.72585615,-0.74015568,1.23811169,0.32903791,-1.19343373,-0.00568745,0.12089644,0.20057333,9.88776164,0.22317629,0.20843392,0.22162259,4,,35.12735227,38.56960048
117.3776765,31.96351447,41.63986772,38.59918382,35.03199067,41.63986772,-72.80105898,-0.71020326,-0.72132765,1.23815838,0.329,-1.19414533,-0.00501305,0.04641216,0.25870605,9.846566,-0.09635979,0.15143927,0.25215151,4,,35.03199067,38.59918382
117.3776755,31.96351476,41.6392792,38.62864709,34.936591,41.6392792,-72.87238162,-0.72410905,-0.7019683,1.23847021,0.3288747,-1.19447021,-0.005,0.04964037,0.2523255,9.79006805,-0.38080057,0.13521632,0.1425777,4,,34.936591,38.62864709
117.3776745,31.96351506,41.64142442,38.65799347,34.8411543,41.64142442,-72.94179342,-0.73213947,-0.69648073,1.23307023,0.32729885,-1.18907023,-0.005,0.05133173,0.17842386,9.7569944,-0.07054651,-0.05096529,0.04740723,4,,34.8411543,38.65799347
117.3776735,31.96351535,41.64327539,38.6872261,34.74568157,41.64327539,-73.00929434,-0.71037223,-0.69863516,1.22529594,0.32503437,-1.18129594,-0.005,0.04079066,0.18458009,9.86507501,0.04145733,-0.07897913,-0.01345159,4,,34.74568157,38.6872261
